Year,Lat,Long,Source
2013,37.715770242000,-122.457570600000,311
2013,37.715770242000,-122.457570600000,311
2013,37.715770242000,-122.457570600000,311
2016,37.716177550000,-122.484448108000,311
2015,37.716257468872,-122.440973053694,311
2013,37.716630503558,-122.456086958033,311
2016,37.716958510491,-122.439640356443,311
2013,37.716982179000,-122.388090100000,311
2016,37.717093124055,-122.439715407341,311
2015,37.717300439377,-122.484858584576,311
2014,37.717306495722,-122.440279742260,311
2014,37.717470636128,-122.448002978758,311
2015,37.717906265951,-122.400131601780,311
2016,37.718084329000,-122.419072600000,311
2013,37.718084329000,-122.419072600000,311
2013,37.718084329000,-122.419072600000,311
2015,37.718084329000,-122.419072600000,311
2016,37.718084329000,-122.419072600000,311
2016,37.718084329000,-122.419072600000,311
2016,37.718084329000,-122.419072600000,311
2014,37.718084329000,-122.419072600000,311
2014,37.718084329000,-122.419072600000,311
2014,37.718084329000,-122.419072600000,311
2014,37.718084329000,-122.419072600000,311
2014,37.718084329000,-122.419072600000,311
2015,37.718084329000,-122.419072600000,311
2015,37.718084329000,-122.419072600000,311
2015,37.718084329000,-122.419072600000,311
2014,37.718395544624,-122.448605190910,311
2015,37.718690145173,-122.449162057227,311
2014,37.719001396104,-122.437082602336,311
2013,37.719026264915,-122.461372700479,311
2015,37.720230769986,-122.396617065062,311
2013,37.720299458526,-122.389263097453,311
2016,37.720807629458,-122.446328230474,311
2013,37.721042026039,-122.435798944677,311
2015,37.721099732905,-122.403543963052,311
2013,37.721125037000,-122.445075388000,311
2014,37.721338958462,-122.438517059753,311
2015,37.721462683794,-122.436605444721,311
2015,37.721568712843,-122.401742512036,311
2015,37.721575098069,-122.437149539974,311
2015,37.721626366615,-122.438641709785,311
2016,37.721835640000,-122.492381900000,311
2016,37.721850028062,-122.438916449461,311
2015,37.721938280939,-122.392733997912,311
2013,37.722157342546,-122.436499766479,311
2016,37.722196365998,-122.436867526592,311
2015,37.722203372944,-122.438500599855,311
2016,37.722459639000,-122.413923800000,311
2016,37.722664043000,-122.398201121000,311
2016,37.722817448381,-122.450999571313,311
2016,37.722817448381,-122.450999571313,311
2016,37.722817448381,-122.450999571313,311
2016,37.722817448381,-122.450999571313,311
2013,37.722955808532,-122.437728473973,311
2015,37.722961421144,-122.449558686932,311
2015,37.722991707322,-122.451595025890,311
2016,37.723080316676,-122.452331546842,311
2015,37.723080316676,-122.452331546842,311
2015,37.723080316676,-122.452331546842,311
2015,37.723080316676,-122.452331546842,311
2015,37.723428755585,-122.435933007402,311
2013,37.723457006621,-122.454115898038,311
2015,37.723479344177,-122.440760238859,311
2015,37.723616207197,-122.400784905915,311
2016,37.723616207197,-122.400784905915,311
2016,37.723616207197,-122.400784905915,311
2016,37.723616207197,-122.400784905915,311
2016,37.723616207197,-122.400784905915,311
2016,37.723616207197,-122.400784905915,311
2016,37.723616207197,-122.400784905915,311
2016,37.723661229081,-122.401899717052,311
2015,37.723681956777,-122.399151888221,311
2015,37.723681956777,-122.399151888221,311
2015,37.723681956777,-122.399151888221,311
2015,37.723681956777,-122.399151888221,311
2016,37.723705289477,-122.401715071403,311
2016,37.723920025351,-122.402060829770,311
2016,37.723920025351,-122.402060829770,311
2015,37.723920025351,-122.402060829770,311
2015,37.723920025351,-122.402060829770,311
2016,37.724127919838,-122.430157756249,311
2016,37.724440219569,-122.452293880512,311
2016,37.724587774212,-122.434870507888,311
2016,37.724753762656,-122.460995904800,311
2015,37.724948780000,-122.444627300000,311
2014,37.725167259377,-122.390362745776,311
2015,37.725175506862,-122.434425845135,311
2015,37.725259472947,-122.503040635920,311
2015,37.725337196746,-122.367968207936,311
2016,37.725337196746,-122.367968207936,311
2016,37.725382481000,-122.462157153000,311
2014,37.725410790045,-122.365850453181,311
2015,37.725428973570,-122.462194233895,311
2016,37.725431088601,-122.391371722039,311
2016,37.725431088601,-122.391371722039,311
2016,37.725431088601,-122.391371722039,311
2016,37.725431088601,-122.391371722039,311
2015,37.725437043615,-122.462859516797,311
2016,37.725475756525,-122.394243601662,311
2015,37.725714827011,-122.463040235443,311
2015,37.725723814000,-122.401388342000,311
2013,37.725736319172,-122.381377528549,311
2013,37.725736319172,-122.381377528549,311
2016,37.725771072933,-122.384502585588,311
2014,37.725928154758,-122.394240945488,311
2013,37.725939052000,-122.393294300000,311
2015,37.726051553821,-122.401411952322,311
2014,37.726222505490,-122.392235326650,311
2015,37.726698408027,-122.446550331854,311
2014,37.726979809939,-122.393570191922,311
2015,37.727130508566,-122.433315410038,311
2015,37.727216678769,-122.382320418361,311
2016,37.727295092000,-122.401760551000,311
2016,37.727634124553,-122.403592873611,311
2015,37.727746073384,-122.401886002983,311
2015,37.727913327611,-122.393528957230,311
2016,37.728102023096,-122.402209360120,311
2015,37.728261609110,-122.444276831019,311
2015,37.728381227699,-122.384103936307,311
2016,37.728490187208,-122.450446865863,311
2016,37.728490187208,-122.450446865863,311
2014,37.728637610218,-122.431481174846,311
2014,37.728637610218,-122.431481174846,311
2014,37.728637610218,-122.431481174846,311
2014,37.728637610218,-122.431481174846,311
2014,37.728637610218,-122.431481174846,311
2014,37.728745258942,-122.409533666405,311
2013,37.729800856000,-122.396408568000,311
2014,37.730252402776,-122.437485703787,311
2016,37.730289295623,-122.436519990610,311
2015,37.730318004740,-122.404706457918,311
2015,37.730318004740,-122.404706457918,311
2016,37.730318004740,-122.404706457918,311
2015,37.730325802308,-122.439685912150,311
2015,37.730449031145,-122.436536597203,311
2015,37.730449031145,-122.436536597203,311
2016,37.730449031145,-122.436536597203,311
2016,37.730449031145,-122.436536597203,311
2016,37.730558279000,-122.449135420000,311
2015,37.730566740025,-122.372704821959,311
2015,37.730742119056,-122.429304287001,311
2016,37.730895667138,-122.402140099760,311
2016,37.730923814418,-122.426817868207,311
2013,37.730936064048,-122.373890220170,311
2014,37.731039919330,-122.429570724279,311
2015,37.731158016644,-122.480900036133,311
2013,37.731168495728,-122.426161763831,311
2013,37.731168495728,-122.426161763831,311
2015,37.731168495728,-122.426161763831,311
2015,37.731168495728,-122.426161763831,311
2015,37.731237034936,-122.405085905180,311
2015,37.731237034936,-122.405085905180,311
2015,37.731237034936,-122.405085905180,311
2016,37.731247378107,-122.390829751507,311
2014,37.731415703930,-122.403770624247,311
2014,37.731737217785,-122.431390451923,311
2016,37.732028211480,-122.433796268948,311
2014,37.732250697999,-122.437590262908,311
2016,37.732281779000,-122.433929455000,311
2013,37.732374023318,-122.428451886574,311
2016,37.733048930000,-122.479534072000,311
2015,37.733223284077,-122.391244536968,311
2015,37.733223284077,-122.391244536968,311
2016,37.733231985971,-122.431297424179,311
2015,37.733278400346,-122.413824141896,311
2015,37.733305719885,-122.391235170540,311
2013,37.733582807000,-122.392411669000,311
2013,37.733658343000,-122.420642100000,311
2016,37.733765509031,-122.431594660136,311
2015,37.734017699957,-122.406515444102,311
2014,37.734042125453,-122.431324232695,311
2014,37.734271866665,-122.412156254767,311
2015,37.734286934810,-122.405494403872,311
2015,37.734323123853,-122.429567082185,311
2014,37.734335277760,-122.411907506612,311
2015,37.734343231018,-122.404543992464,311
2015,37.734343231018,-122.404543992464,311
2016,37.734521021214,-122.406815781755,311
2016,37.734559620162,-122.390548592963,311
2014,37.734805754190,-122.429631152270,311
2016,37.734827605407,-122.429358959426,311
2015,37.734999482069,-122.417033066289,311
2014,37.735019107666,-122.429875292845,311
2015,37.735019107666,-122.429875292845,311
2014,37.735027485164,-122.429698474770,311
2015,37.735027485164,-122.429698474770,311
2016,37.735183202000,-122.385590160000,311
2015,37.735234796000,-122.406503433000,311
2016,37.735438820290,-122.425857459540,311
2013,37.735466465464,-122.503104767100,311
2016,37.735467073085,-122.409783175083,311
2015,37.735571209298,-122.506135173684,311
2015,37.735660994012,-122.392213826222,311
2016,37.735758786230,-122.422032736040,311
2015,37.735813297754,-122.426537795948,311
2015,37.735813297754,-122.426537795948,311
2015,37.735819579667,-122.392373989504,311
2014,37.736015282867,-122.384745526025,311
2014,37.736061033685,-122.424466098948,311
2016,37.736079021567,-122.388834153479,311
2015,37.736082311000,-122.478297000000,311
2014,37.736082311000,-122.478297000000,311
2016,37.736095707188,-122.506193953495,311
2014,37.736163764032,-122.426130174321,311
2014,37.736256013367,-122.426434131896,311
2016,37.736291519577,-122.391320416525,311
2014,37.736308566000,-122.485928200000,311
2016,37.736367261009,-122.405710314037,311
2016,37.736367537000,-122.405711013000,311
2016,37.736367537000,-122.405711013000,311
2015,37.736428591637,-122.408556810484,311
2016,37.736558534612,-122.391220732065,311
2016,37.736558534612,-122.391220732065,311
2016,37.736558534612,-122.391220732065,311
2016,37.736577037554,-122.405583856060,311
