violation,count,count_text
Alcohol related,9254,"9,254"
Obstructing sidewalk,6065,"6,065"
Habitation,5127,"5,127"
"Urinate, defecate",1379,"1,379"
"Peddling, vending",1304,"1,304"
Trash related,1112,"1,112"
Violation of sit/lie,823,823
Loitering,701,701
Smoking in park,451,451
Disobeying signs,363,363
Animal related,321,321
Unknown (or other?),299,299
Aggressive panhandling,116,116
