year,over_ten,over_ten_percent,over_sixty,over_sixty_percent,total
2007-08,1068,9,856,7.2,11912
2008-09,1825,16.2,907,8.1,11265
2009-10,1704,16,874,8.2,10664
2010-11,2309,23.2,968,9.7,9941
2011-12,2576,25.5,1064,10.5,10107
2012-13,2758,27.2,1146,11.3,10141
2013-14,2991,29.3,1213,11.9,10202
2014-15,3270,32.9,1304,13.1,9944
