group,num,totals,totals_txt,avgs,order1,order2,avgs_text
All homeless,9975,148603244.2,149,14898,1,4,15
Long-term homeless,3272,65763536.91,66,20099,2,2,20
High-risk homeless,338,50454136.22,50,149273,3,1,149
Homeless women,2403,33975144.41,34,14139,4,5,14
Elder homeless,1304,25228306.7,25,19347,5,3,19
Young homeless,631,4421969.84,4,7008,6,6,7
