violation,count,count_text
"Drinking in public, alcohol",9254,"9,254"
Obstructing sidewalk,6065,"6,065"
"Camping, sleeping",5127,"5,127"
"Urinating, defecating",1379,"1,379"
"Peddling, vending",1304,"1,304"
Leaving trash,1112,"1,112"
Sit-lie,823,823
Loitering,701,701
Smoking in park,451,451
Disobeying signs,363,363
Animal nuisance,321,321
Other,299,299
Aggressive panhandling,116,116
