PROPERTY_ADDRESS,FULL_ADDRESS,NAME,SuppHsg,DBI_VIOLATIONS,Lat,Long
1105 LARKIN ST,1105 Larkin St,NA,No,26,37.788195,-122.418734
69 HILL ST,69 Hill St,NA,No,26,37.755765,-122.422575
925 GEARY ST,925 Geary St,NA,No,26,37.785791,-122.418496
4734 MISSION ST,4734 Mission St,NA,No,26,37.722501,-122.436823
125 PALM AV,125 Palm Av,NA,No,26,37.783186,-122.458216
112 PFEIFFER ST,112 Pfeiffer St,NA,No,26,37.804918,-122.408718
1030 STEINER ST,1030 Steiner St,NA,No,26,37.778896,-122.433142
49 OLIVER ST,49 Oliver St,NA,No,26,37.709038,-122.449781
1216 FULTON ST,1216 Fulton St,NA,No,26,37.777243,-122.437409
270 PARKER AV,270 Parker Av,NA,No,26,37.780697,-122.453612
542 CLAYTON ST,542 Clayton St,NA,No,25,37.770199,-122.448365
2641 MISSION ST,2641 Mission St,NA,No,25,37.754801,-122.41833
280 OFARRELL ST,280 Ofarrell St,NA,No,25,37.786443,-122.409303
40 SYCAMORE ST,40 Sycamore St,NA,No,25,37.762842,-122.420355
570 OFARRELL ST,570 Ofarrell St,NA,No,25,37.785806,-122.414121
195 EUREKA ST,195 Eureka St,NA,No,25,37.759291,-122.437983
867 ALABAMA ST,867 Alabama St,NA,No,25,37.758051,-122.4112
50 TURK ST,50 Turk St,NA,No,24,37.78359,-122.410063
125 ASHBURY ST,125 Ashbury St,NA,No,24,37.774221,-122.448091
208 DORLAND ST,208 Dorland St,NA,No,24,37.762349,-122.429064
1415 SHAFTER AV,1415 Shafter Av,NA,No,24,37.728909,-122.387502
405 VALENCIA ST,405 Valencia St,Royan Hotel,Yes,24,37.766409,-122.421714
241 6th ST,241 6th St,Knox Hotel,Yes,24,37.779375,-122.406258
3128 24th ST,3128 24th St,NA,No,24,37.752701,-122.414703
5169 MISSION ST,5169 Mission St,NA,No,24,37.715897,-122.441082
2037 TURK BL,2037 Turk Bl,NA,No,24,37.778864,-122.442676
4047 BALBOA ST,4047 Balboa St,NA,No,24,37.775303,-122.50239
1635 JONES ST,1635 Jones St,NA,No,23,37.796393,-122.415398
3473 17th ST,3473 17th St,NA,No,23,37.762985,-122.423362
719 ELLIS ST,719 Ellis St,NA,No,23,37.784052,-122.417952
300 HAMILTON ST,300 Hamilton St,NA,No,23,37.727048,-122.410274
640 POST ST,640 Post St,NA,No,23,37.787959,-122.412477
501 19th AV,501 19th Av,NA,No,23,37.778301,-122.478417
495 EDINBURG ST,495 Edinburg St,NA,No,23,37.721217,-122.431678
1278 MARKET ST,1278 Market St,NA,No,23,37.77798,-122.416203
310 OTSEGO AV,310 Otsego Av,NA,No,23,37.723133,-122.441394
814 CALIFORNIA ST,814 California St,NA,No,23,37.792417,-122.408002
624 ELLIS ST,624 Ellis St,NA,No,23,37.784605,-122.416568
5225 MISSION ST,5225 Mission St,NA,No,23,37.715139,-122.441841
1266 DE HARO ST,1266 De Haro St,NA,No,23,37.75373,-122.400851
375 24th AV,375 24th Av,NA,No,23,37.782541,-122.484167
2834 SAN JOSE AV,2834 San Jose Av,NA,No,23,37.712595,-122.454661
2477 MISSION ST,2477 Mission St,NA,No,23,37.757409,-122.418619
307 CAPP ST,307 Capp St,NA,No,23,37.761695,-122.417935
2973 FOLSOM ST,2973 Folsom St,NA,No,22,37.749782,-122.413484
1945 CLAY ST,1945 Clay St,NA,No,22,37.791597,-122.42507
463 6th AV,463 6th Av,NA,No,22,37.779771,-122.464524
2629 MISSION ST,2629 Mission St,NA,No,22,37.75502,-122.418351
940 HAMPSHIRE ST,940 Hampshire St,NA,No,22,37.757025,-122.407968
447 7th AV,447 7th Av,NA,No,22,37.779997,-122.465614
664 27th AV,664 27th Av,NA,No,22,37.776899,-122.486326
450 23rd AV,450 23rd Av,NA,No,22,37.779177,-122.482187
1001 PINE ST,1001 Pine St,NA,No,22,37.790348,-122.412568
5176 MISSION ST,5176 Mission St,NA,No,22,37.71598,-122.441731
669 PENNSYLVANIA AV,669 Pennsylvania Av,NA,No,22,37.758133,-122.392836
387 ELLIS ST,387 Ellis St,Mentone Hotel,Yes,22,37.784684,-122.412529
1260 KEARNY ST,1260 Kearny St,NA,No,22,37.799781,-122.405648
407 BROADWAY *,407 Broadway,NA,No,22,37.797989,-122.404029
150 PORTOLA DR,150 Portola Dr,NA,No,21,37.748588,-122.444469
1265 JACKSON ST,1265 Jackson St,NA,No,21,37.794566,-122.415927
4631 IRVING ST,4631 Irving St,NA,No,21,37.761965,-122.507735
237 ROLPH ST,237 Rolph St,NA,No,21,37.714202,-122.437565
1010 BUSH ST,1010 Bush St,NA,No,21,37.789733,-122.413997
150 FRANKLIN ST,150 Franklin St,NA,No,21,37.77593,-122.420891
270 MCALLISTER ST,270 Mcallister St,McAllister Hotel,Yes,21,37.780856,-122.416516
155 HYDE ST,155 Hyde St,NA,No,21,37.78235,-122.415875
947 GREEN ST,947 Green St,NA,No,21,37.798527,-122.414569
1135 GUERRERO ST,1135 Guerrero St,NA,No,21,37.753033,-122.422661
1719 17th AV,1719 17th Av,NA,No,21,37.755771,-122.474764
1014 MASONIC AV,1014 Masonic Av,NA,No,21,37.771852,-122.445358
990 GEARY ST,990 Geary St,NA,No,21,37.786187,-122.419486
1401 HYDE ST,1401 Hyde St,NA,No,21,37.793749,-122.418266
312 FILLMORE ST,312 Fillmore St,NA,No,21,37.772357,-122.430268
1153 FLORIDA ST,1153 Florida St,NA,No,21,37.75352,-122.409863
90 DIVISADERO ST,90 Divisadero St,NA,No,20,37.768722,-122.436429
3223 17th ST,3223 17th St,NA,No,20,37.7633,-122.41792
358 12th AV,358 12th Av,NA,No,20,37.781567,-122.470435
2417 CLEMENT ST,2417 Clement St,NA,No,20,37.781757,-122.485214
562 37th AV,562 37th Av,NA,No,20,37.77829,-122.497177
648 7th AV,648 7th Av,NA,No,20,37.776027,-122.464667
761 MINNA ST,761 Minna St,NA,No,20,37.776181,-122.413415
1455 CLAY ST,1455 Clay St,NA,No,20,37.792622,-122.416998
3186 24th ST,3186 24th St,NA,No,20,37.752517,-122.41597
530 LARKIN ST,530 Larkin St,NA,No,20,37.782808,-122.417064
1555 LA SALLE AV,1555 La Salle Av,NA,No,20,37.735945,-122.387973
884 14th ST,884 14th St,NA,No,20,37.767715,-122.43307
420 DIAMOND ST,420 Diamond St,NA,No,20,37.755514,-122.43706
1616 PALOU AV,1616 Palou Av,NA,No,20,37.734491,-122.391329
3434 CALIFORNIA ST,3434 California St,NA,No,20,37.78705,-122.45081
528 VALENCIA ST,528 Valencia St,NA,No,20,37.764415,-122.422136
3457 MISSION ST,3457 Mission St,NA,No,20,37.741322,-122.422065
620 EDDY ST,620 Eddy St,NA,No,20,37.783506,-122.41808
2828 GEARY BL,2828 Geary Bl,NA,No,20,37.782479,-122.449665
2135 MISSION ST,2135 Mission St,NA,No,20,37.762857,-122.419103
1288 MISSION ST,1288 Mission St,NA,No,20,37.776554,-122.414678
3510 18th ST,3510 18th St,NA,No,20,37.761813,-122.421906
1990 BEACH ST,1990 Beach St,NA,No,20,37.803953,-122.441651
401 43rd AV,401 43rd Av,NA,No,20,37.780944,-122.504476
460 SOUth VAN NESS AV,460 South Van Ness Av,NA,No,20,37.765852,-122.417825
1580 JACKSON ST,1580 Jackson St,NA,No,20,37.794456,-122.421102
1112 LARKIN ST,1112 Larkin St,NA,No,20,37.788207,-122.418293
488 CASTRO ST,488 Castro St,NA,No,19,37.761104,-122.43532
1440 CLAY ST,1440 Clay St,NA,No,19,37.793184,-122.416809
3330 26th ST,3330 26th St,NA,No,19,37.74931,-122.416594
1108 TREAT AV,1108 Treat Av,NA,No,19,37.752173,-122.413165
410 SHRADER ST,410 Shrader St,NA,No,19,37.770864,-122.451861
775 POST ST,775 Post St,NA,No,19,37.787219,-122.414588
1089 OAKDALE AV,1089 Oakdale Av,NA,No,19,37.728935,-122.380417
88 CRESTLINE DR,88 Crestline Dr,NA,No,19,37.752267,-122.446264
