PROPERTY_ADDRESS,FULL_ADDRESS,NAME,SuppHsg,DBI_VIOLATIONS,Lat,Long
1054 HAMPSHIRE ST,1054 Hampshire St,NA,No,14,37.755214,-122.407792
1905 MCALLISTER ST,1905 Mcallister St,NA,No,14,37.776948,-122.443451
1801 BROADWAY *,1801 Broadway,NA,No,14,37.795039,-122.426817
795 8th AV,795 8th Av,NA,No,14,37.773638,-122.466253
905 BURNETT AV,905 Burnett Av,NA,No,14,37.748445,-122.444793
355 FULTON ST,355 Fulton St,NA,No,14,37.778555,-122.42261
1045 LAKE ST,1045 Lake St,NA,No,14,37.786182,-122.470881
530 14th ST,530 14th St,NA,No,14,37.768258,-122.425095
343 LEXINGTON ST,343 Lexington St,NA,No,14,37.75785,-122.420225
1769 CAYUGA AV,1769 Cayuga Av,NA,No,14,37.714449,-122.448856
46 LLOYD ST,46 Lloyd St,NA,No,14,37.769955,-122.435857
3843 24th ST,3843 24th St,NA,No,14,37.751438,-122.428377
278 7th AV,278 7th Av,NA,No,14,37.783362,-122.465197
730 BACON ST,730 Bacon St,NA,No,14,37.726156,-122.410223
735 WASHINGTON ST,735 Washington St,NA,No,14,37.795021,-122.406049
327 BARTLETT ST,327 Bartlett St,NA,No,14,37.751769,-122.419204
700 SHOTWELL ST,700 Shotwell St,NA,No,14,37.757047,-122.415769
238 DIVISADERO ST,238 Divisadero St,NA,No,14,37.771055,-122.436668
1329 SACRAMENTO ST,1329 Sacramento St,NA,No,14,37.792079,-122.41476
5700 MISSION ST,5700 Mission St,NA,No,14,37.710115,-122.449726
2346 FRANKLIN ST,2346 Franklin St,NA,No,14,37.796238,-122.424918
1697 OAK ST,1697 Oak St,NA,No,14,37.771657,-122.447098
416 TURK ST,416 Turk St,NA,No,14,37.78271,-122.416203
2370 MISSION ST,2370 Mission St,NA,No,14,37.759099,-122.4194
427 34th AV,427 34th Av,NA,No,14,37.780968,-122.494805
50 GOLDEN GATE AV,50 Golden Gate Av,NA,No,14,37.782448,-122.411528
854 FELL ST,854 Fell St,NA,No,14,37.775071,-122.431933
604 SHOTWELL ST,604 Shotwell St,NA,No,14,37.758503,-122.416066
1017 SHOTWELL ST,1017 Shotwell St,NA,No,14,37.751786,-122.414784
600 24th AV,600 24th Av,NA,No,14,37.777974,-122.483337
475 WARREN DR,475 Warren Dr,NA,No,14,37.757993,-122.462376
200 VAN NESS AV,200 Van Ness Av,NA,No,14,37.777529,-122.419324
3535 CLEMENT ST,3535 Clement St,NA,No,14,37.781184,-122.497425
161 LEXINGTON ST,161 Lexington St,NA,No,14,37.760789,-122.420513
1008 LARKIN ST,1008 Larkin St,NA,No,14,37.787297,-122.418083
364 UNION ST,364 Union St,NA,No,14,37.801111,-122.405553
1020 POST ST,1020 Post St,NA,No,14,37.787234,-122.41873
680 9th AV,680 9th Av,NA,No,14,37.775656,-122.466783
3624 IRVING ST,3624 Irving St,NA,No,14,37.762936,-122.496923
5530 MISSION ST,5530 Mission St,NA,No,14,37.712402,-122.445479
27 TALBERT CT,27 Talbert Ct,NA,No,14,37.711256,-122.405946
170 TURK ST,170 Turk St,NA,No,14,37.783259,-122.412032
2329 MISSION ST,2329 Mission St,NA,No,14,37.75978,-122.418807
26 SANTA BARBARA AV,26 Santa Barbara Av,NA,No,14,37.708725,-122.465105
608 OFARRELL ST,608 Ofarrell St,NA,No,14,37.785688,-122.414901
2678 21ST ST,2678 21St St,NA,No,14,37.757874,-122.408525
948 MISSION ST,948 Mission St,NA,No,13,37.782056,-122.407859
1530 KIRKWOOD AV,1530 Kirkwood Av,NA,No,13,37.737619,-122.388456
746 AthENS ST,746 Athens St,NA,No,13,37.716336,-122.43278
359 6th AV,359 6th Av,NA,No,13,37.781759,-122.464667
269 14th ST,269 14th St,NA,No,13,37.768181,-122.419326
316 VALENCIA ST,316 Valencia St,NA,No,13,37.767855,-122.422484
1 CIELITO DR,1 Cielito Dr,NA,No,13,37.710154,-122.421495
1279 8th AV,1279 8th Av,NA,No,13,37.77493,-122.41942
415 7th AV,415 7th Av,NA,No,13,37.780408,-122.465644
1037 WASHINGTON ST,1037 Washington St,NA,No,13,37.794499,-122.410325
1453 thOMAS AV,1453 thomas Av,NA,No,13,37.728661,-122.388732
1532 REVERE AV,1532 Revere Av,NA,No,13,37.731155,-122.388732
420 7th AV,420 7th Av,NA,No,13,37.780472,-122.464991
1575 PALOU AV,1575 Palou Av,NA,No,13,37.733502,-122.390611
50 BAY VIEW ST,50 Bay View St,NA,No,13,37.73279,-122.39313
1301 20th ST,1301 20th St,NA,No,13,37.760001,-122.394614
1371 JACKSON ST,1371 Jackson St,NA,No,13,37.794374,-122.417532
956 MADRID ST,956 Madrid St,NA,No,13,37.71545,-122.437783
200 JUDSON AV,200 Judson Av,NA,No,13,37.728404,-122.44684
2250 MISSION ST,2250 Mission St,NA,No,13,37.760951,-122.419559
1917 MISSION ST,1917 Mission St,NA,No,13,37.76633,-122.419601
175 6th ST,175 6th St,Alder Hotel,Yes,13,37.780208,-122.407364
900 RUSSIA AV,900 Russia Av,NA,No,13,37.717927,-122.429954
1034 STOCKTON ST,1034 Stockton St,NA,No,13,37.795454,-122.407717
3697 MISSION ST,3697 Mission St,NA,No,13,37.737506,-122.423749
2450 MARKET ST,2450 Market St,NA,No,13,37.762715,-122.43601
709 CLAYTON ST,709 Clayton St,NA,No,13,37.768517,-122.448609
1845 CABRILLO ST,1845 Cabrillo St,NA,No,13,37.77442,-122.478678
1680 OAKDALE AV,1680 Oakdale Av,NA,No,13,37.735673,-122.391694
917 FOLSOM ST,917 Folsom St,NA,No,13,37.779772,-122.403585
1 DAWSON PL,1 Dawson Pl,NA,No,13,37.793446,-122.410621
1053 OAK ST,1053 Oak St,NA,No,13,37.772958,-122.436562
844 COLBY ST,844 Colby St,NA,No,13,37.719866,-122.41055
41 6th ST,41 6th St,NA,No,13,37.781804,-122.409363
5034 MISSION ST,5034 Mission St,NA,No,13,37.718074,-122.440169
819 GREENWICH ST,819 Greenwich St,NA,No,13,37.801667,-122.413243
805 VALENCIA ST,805 Valencia St,NA,No,13,37.759948,-122.421129
706 46th AV,706 46th Av,NA,No,13,37.77507,-122.506709
123 WAVERLY PL,123 Waverly Pl,NA,No,13,37.79447,-122.40706
2700 ANZA ST,2700 Anza St,NA,No,13,37.778638,-122.477371
1141 STOCKTON ST,1141 Stockton St,NA,No,13,37.796345,-122.408716
1500 HYDE ST,1500 Hyde St,NA,No,13,37.794744,-122.417954
2826 21ST ST,2826 21St St,NA,No,13,37.757738,-122.411041
1840 FELL ST,1840 Fell St,NA,No,12,37.772995,-122.448252
677 ELLIS ST,677 Ellis St,NA,No,12,37.784086,-122.417223
1721 GENEVA AV,1721 Geneva Av,NA,No,12,37.711248,-122.426115
1625 LEAVENWORth ST,1625 Leavenworth St,NA,No,12,37.795986,-122.417071
924 MINNESOTA ST,924 Minnesota St,NA,No,12,37.758822,-122.390616
707 STOCKTON ST,707 Stockton St,NA,No,12,37.792443,-122.407797
1367 SAN BRUNO AV,1367 San Bruno Av,NA,No,12,37.752262,-122.403969
3 HELEN ST,3 Helen St,NA,No,12,37.790697,-122.416192
705 UNION ST,705 Union St,NA,No,12,37.800052,-122.411033
633 SOUth VAN NESS AV,633 South Van Ness Av,NA,No,12,37.763054,-122.416926
350 SANTA ANA AV,350 Santa Ana Av,NA,No,12,37.730616,-122.46829
1732 OAKDALE AV,1732 Oakdale Av,NA,No,12,37.736234,-122.392684
1458 HYDE ST,1458 Hyde St,NA,No,12,37.794433,-122.417825
1853 MCALLISTER ST,1853 Mcallister St,NA,No,12,37.776959,-122.442679
791 MINNA ST,791 Minna St,NA,No,12,37.776007,-122.413636
1690 BROADWAY *,1690 Broadway,NA,No,12,37.795872,-122.424788
635 9th AV,635 9th Av,NA,No,12,37.776381,-122.467494
415 COLLINGWOOD ST,415 Collingwood St,NA,No,12,37.755716,-122.435308
747 NATOMA ST,747 Natoma St,NA,No,12,37.775937,-122.412801
904 PINE ST,904 Pine St,NA,No,12,37.790975,-122.410873
4815 MISSION ST,4815 Mission St,NA,No,12,37.721176,-122.437118
215 PEABODY ST,215 Peabody St,NA,No,12,37.709205,-122.407587
1465 WALLER ST,1465 Waller St,NA,No,12,37.768715,-122.447722
1020 BUSH ST,1020 Bush St,NA,No,12,37.789713,-122.414147
663 VALENCIA ST,663 Valencia St,NA,No,12,37.762228,-122.421453
165 INVERNESS DR,165 Inverness Dr,NA,No,12,37.731539,-122.482962
2629 FOLSOM ST,2629 Folsom St,NA,No,12,37.755209,-122.413978
3317 MISSION ST,3317 Mission St,NA,No,12,37.743663,-122.420404
77 WALLER ST,77 Waller St,NA,No,12,37.771627,-122.424808
3445 GEARY BL,3445 Geary Bl,NA,No,12,37.781118,-122.455895
2060 MISSION ST,2060 Mission St,NA,No,12,37.763978,-122.419885
719 SHOTWELL ST,719 Shotwell St,NA,No,12,37.756613,-122.415249
615 LEAVENWORth ST,615 Leavenworth St,NA,No,12,37.786787,-122.415221
778 38th AV,778 38th Av,NA,No,12,37.774233,-122.497958
2436 BUSH ST,2436 Bush St,NA,No,12,37.7868,-122.437438
710 POWELL ST,710 Powell St,NA,No,12,37.791298,-122.408814
659 OAK ST,659 Oak St,NA,No,12,37.773789,-122.429988
2915 23rd ST,2915 23rd St,NA,No,12,37.754085,-122.410602
12 HILL ST,12 Hill St,NA,No,12,37.756311,-122.421634
1024 POTRERO AV,1024 Potrero Av,NA,No,12,37.755679,-122.406936
447 VALENCIA ST,447 Valencia St,NA,No,12,37.765846,-122.42166
1264 2ND AV,1264 2Nd Av,NA,No,12,37.764967,-122.458571
1309 ALABAMA ST,1309 Alabama St,NA,No,12,37.750779,-122.410503
381 MONTEREY BL,381 Monterey Bl,NA,No,12,37.731272,-122.443808
125 6th ST,125 6th St,NA,No,12,37.780857,-122.408056
640 CLAY ST,640 Clay St,NA,No,12,37.794793,-122.403864
114 NOE ST,114 Noe St,NA,No,12,37.767094,-122.433683
1743 GOLDEN GATE AV,1743 Golden Gate Av,NA,No,12,37.778345,-122.439289
975 SUTTER ST,975 Sutter St,NA,No,12,37.787958,-122.416314
1485 MCKINNON AV,1485 Mckinnon Av,NA,No,12,37.734395,-122.387177
1174 PACIFIC AV,1174 Pacific Av,NA,No,12,37.796085,-122.414557
536 GREEN ST,536 Green St,NA,No,12,37.799851,-122.408011
718 JOOST AV,718 Joost Av,NA,No,12,37.732547,-122.451648
15 LILLIAN ST,15 Lillian St,NA,No,12,37.73147,-122.38066
934 BROADWAY *,934 Broadway,NA,No,12,37.797432,-122.412604
520 GEARY ST,520 Geary St,NA,No,12,37.787161,-122.412042
725 NAPLES ST,725 Naples St,NA,No,12,37.717185,-122.433634
930 PACIFIC AV,930 Pacific Av,NA,No,12,37.796598,-122.410623
1357 FOLSOM ST,1357 Folsom St,NA,No,12,37.772992,-122.412158
32 GEORGE CT,32 George Ct,NA,No,12,37.731301,-122.382743
370 ELLIS ST,370 Ellis St,NA,No,12,37.785216,-122.412295
550 LARKIN ST,550 Larkin St,NA,No,12,37.78293,-122.417176
1175 WASHINGTON ST,1175 Washington St,NA,No,12,37.794125,-122.412454
587 BURNETT AV,587 Burnett Av,NA,No,12,37.751859,-122.444036
321 CHESTNUT ST,321 Chestnut St,NA,No,12,37.804104,-122.408712
912 JACKSON ST,912 Jackson St,NA,No,12,37.795695,-122.410274
60 OSCEOLA LN,60 Osceola Ln,NA,No,12,37.731875,-122.382981
143 WAVERLY PL,143 Waverly Pl,NA,No,12,37.794766,-122.407107
11 HILIRITAS AV,11 Hiliritas Av,NA,No,12,37.737608,-122.437044
150 GRAYSTONE TR,150 Graystone Tr,NA,No,12,37.757172,-122.446299
1616 BRODERICK ST,1616 Broderick St,NA,No,12,37.785415,-122.441336
2 EMERY LN,2 Emery Ln,NA,No,12,37.798675,-122.40954
3548 ANZA ST,3548 Anza St,NA,No,12,37.778225,-122.4865
1141 MUNICH ST,1141 Munich St,NA,No,12,37.710515,-122.436534
1050 FELL ST,1050 Fell St,NA,No,11,37.774606,-122.435168
1748 NEWCOMB AV,1748 Newcomb Av,NA,No,11,37.736999,-122.392367
39 SPOFFOrd ST,39 Spofford St,NA,No,11,37.794659,-122.407556
2323 LARKIN ST,2323 Larkin St,NA,No,11,37.799259,-122.421037
310 HAMILTON ST,310 Hamilton St,NA,No,11,37.726898,-122.410212
440 4th AV,440 4th Av,NA,No,11,37.78024,-122.461748
443 7th AV,443 7th Av,NA,No,11,37.780065,-122.465619
2227 TAYLOR ST,2227 Taylor St,NA,No,11,37.802969,-122.415009
461 ASHBURY ST,461 Ashbury St,NA,No,11,37.77103,-122.447448
1055 MASON ST,1055 Mason St,NA,No,11,37.793467,-122.411358
772 7th AV,772 7th Av,NA,No,11,37.774095,-122.464527
3308 MISSION ST,3308 Mission St,NA,No,11,37.74389,-122.421275
1750 SACRAMENTO ST,1750 Sacramento St,NA,No,11,37.791662,-122.421751
889 VALLEJO ST,889 Vallejo St,NA,No,11,37.798023,-122.411829
773 PINE ST,773 Pine St,NA,No,11,37.790961,-122.408553
804 STOCKTON ST,804 Stockton St,NA,No,11,37.793357,-122.407494
736 COMMERCIAL ST,736 Commercial St,NA,No,11,37.794061,-122.405374
5 RUth ST,5 Ruth St,NA,No,11,37.723067,-122.436354
3116 16th ST,3116 16th St,NA,No,11,37.765139,-122.422233
419 LAKESHORE DR,419 Lakeshore Dr,NA,No,11,37.733404,-122.495604
2811 CALIFORNIA ST,2811 California St,NA,No,11,37.787839,-122.440731
1095 MISSION ST,1095 Mission St,Hotel Isabel,Yes,11,37.779209,-122.410537
276 DAY ST,276 Day St,NA,No,11,37.743047,-122.428196
3672 SACRAMENTO ST,3672 Sacramento St,NA,No,11,37.787623,-122.453176
2061 OCEAN AV,2061 Ocean Av,NA,No,11,37.726122,-122.465372
1061 SHOTWELL ST,1061 Shotwell St,NA,No,11,37.751512,-122.414758
1290 CHESTNUT ST,1290 Chestnut St,NA,No,11,37.80245,-122.424433
1245 GREEN ST,1245 Green St,NA,No,11,37.79797,-122.419595
664 LARKIN ST,664 Larkin St,NA,No,11,37.78405,-122.417503
929 PINE ST,929 Pine St,NA,No,11,37.790601,-122.411084
1040 FOLSOM ST,1040 Folsom St,NA,No,11,37.777956,-122.406706
1570 WASHINGTON ST,1570 Washington St,NA,No,11,37.793726,-122.419094
1345 SACRAMENTO ST,1345 Sacramento St,NA,No,11,37.792088,-122.414982
489 MADRID ST,489 Madrid St,NA,No,11,37.721717,-122.432388
79 SHARON ST,79 Sharon St,NA,No,11,37.764865,-122.42949
45 BERNArd ST,45 Bernard St,NA,No,11,37.796296,-122.4142
1031 HOLLISTER AV,1031 Hollister Av,NA,No,11,37.718815,-122.391369
57 MARthA AV,57 Martha Av,NA,No,11,37.734123,-122.440532
2357 BUSH ST,2357 Bush St,NA,No,11,37.786401,-122.43606
238 LEAVENWORth ST,238 Leavenworth St,NA,No,11,37.783331,-122.413886
2315 BUSH ST,2315 Bush St,NA,No,11,37.786536,-122.435408
1250 SACRAMENTO ST,1250 Sacramento St,NA,No,11,37.792674,-122.413547
1430 LEAVENWORth ST,1430 Leavenworth St,NA,No,11,37.794333,-122.416021
425 4th AV,425 4th Av,NA,No,11,37.780484,-122.462425
234 COLLINS ST,234 Collins St,NA,No,11,37.781611,-122.449675
1215 PACIFIC AV,1215 Pacific Av,NA,No,11,37.795645,-122.415356
301 COLUMBUS AV,301 Columbus Av,NA,No,11,37.797983,-122.407216
619 SHOTWELL ST,619 Shotwell St,NA,No,11,37.75846,-122.415427
806 46th AV,806 46th Av,NA,No,11,37.773206,-122.506555
1440 JONES ST,1440 Jones St,NA,No,11,37.794658,-122.4144
222 WILLArd NORth ST,222 Willard North St,NA,No,11,37.776488,-122.45635
163 CLIPPER ST,163 Clipper St,NA,No,11,37.748963,-122.42865
3971 MISSION ST,3971 Mission St,NA,No,11,37.734122,-122.425547
4347 CALIFORNIA ST,4347 California St,NA,No,11,37.784574,-122.464266
2450 28th AV,2450 28th Av,NA,No,11,37.741645,-122.484938
643 PRECITA AV,643 Precita Av,NA,No,11,37.748087,-122.408867
233 CHESTNUT ST,233 Chestnut St,NA,No,11,37.804221,-122.407216
274 CARL ST,274 Carl St,NA,No,11,37.765517,-122.454015
1599 10th AV,1599 10th Av,NA,No,11,37.758583,-122.467181
161 LEAVENWORth ST,161 Leavenworth St,NA,No,11,37.782563,-122.414191
340 SHOTWELL ST,340 Shotwell St,NA,No,11,37.762883,-122.416483
778 7th AV,778 7th Av,NA,No,11,37.774027,-122.464522
2301 BAY ST,2301 Bay St,NA,No,11,37.80143,-122.445135
1006 PAGE ST,1006 Page St,NA,No,11,37.772304,-122.437528
415 JONES ST,415 Jones St,NA,No,11,37.785095,-122.413045
1925 LEAVENWORth ST,1925 Leavenworth St,NA,No,11,37.798817,-122.417647
927 ALABAMA ST,927 Alabama St,NA,No,11,37.756954,-122.411096
2100 JACKSON ST,2100 Jackson St,NA,No,11,37.793409,-122.429925
500 7th AV,500 7th Av,NA,No,11,37.778855,-122.464983
240 FLOURNOY ST,240 Flournoy St,NA,No,11,37.709119,-122.462161
2455 LAKE ST,2455 Lake St,NA,No,11,37.785502,-122.485976
247 7th AV,247 7th Av,NA,No,11,37.783835,-122.46589
747 32ND AV,747 32Nd Av,NA,No,11,37.775045,-122.492224
1120 STOCKTON ST,1120 Stockton St,NA,No,11,37.796157,-122.408062
2837 FOLSOM ST,2837 Folsom St,NA,No,11,37.751926,-122.413788
227 HARTFOrd ST,227 Hartford St,NA,No,11,37.75893,-122.433383
591 11th AV,591 11th Av,NA,No,11,37.77723,-122.469556
400 PERU AV,400 Peru Av,NA,No,11,37.726803,-122.426473
1353 FOLSOM ST,1353 Folsom St,NA,No,11,37.772992,-122.412158
370 BAKER ST,370 Baker St,NA,No,11,37.774315,-122.440709
1707 MARKET ST,1707 Market St,NA,No,11,37.772232,-122.422275
1825 LAGUNA ST,1825 Laguna St,NA,No,11,37.788004,-122.428958
1750 WASHINGTON ST,1750 Washington St,NA,No,11,37.793418,-122.422144
701 BRAZIL AV,701 Brazil Av,NA,No,11,37.722113,-122.428971
157 WINFIELD ST,157 Winfield St,NA,No,11,37.742237,-122.418547
1760 HYDE ST,1760 Hyde St,NA,No,11,37.797174,-122.418389
1534 JONES ST,1534 Jones St,NA,No,11,37.795526,-122.414574
399 STEINER ST,399 Steiner St,NA,No,11,37.772601,-122.432408
755 6th AV,755 6th Av,NA,No,11,37.774388,-122.464133
1958 GROVE ST,1958 Grove St,NA,No,11,37.774816,-122.448966
1180 FILBERT ST,1180 Filbert St,NA,No,11,37.800462,-122.418893
3321 23rd ST,3321 23rd St,NA,No,11,37.753596,-122.419099
1465 20th AV,1465 20th Av,NA,No,11,37.760396,-122.478357
2685 BRYANT ST,2685 Bryant St,NA,No,11,37.751481,-122.408728
161 6th ST,161 6th St,NA,No,11,37.780431,-122.407643
3471 17th ST,3471 17th St,NA,No,11,37.762985,-122.423362
671 6th AV,671 6th Av,NA,No,11,37.775909,-122.464243
1615 JONES ST,1615 Jones St,NA,No,11,37.796107,-122.415282
1262 SACRAMENTO ST,1262 Sacramento St,NA,No,11,37.792572,-122.413696
538 3rd AV,538 3rd Av,NA,No,10,37.778499,-122.460548
371 BROADWAY *,371 Broadway,NA,No,10,37.798092,-122.403379
3050 25th ST,3050 25th St,NA,No,10,37.751313,-122.410979
1227 CLAY ST,1227 Clay St,NA,No,10,37.793206,-122.413331
304 HOLLOWAY AV,304 Holloway Av,NA,No,10,37.722065,-122.45648
120 HAIGHT ST,120 Haight St,NA,No,10,37.773101,-122.424394
1400 KEIth ST,1400 Keith St,NA,No,10,37.732355,-122.386908
415 EUCLID AV,415 Euclid Av,NA,No,10,37.783799,-122.453016
4810 CALIFORNIA ST,4810 California St,NA,No,10,37.784852,-122.469129
1114 SUTTER ST,1114 Sutter St,NA,No,10,37.788174,-122.418894
424 ELLIS ST,424 Ellis St,NA,No,10,37.785066,-122.413276
745 SUTTER ST,745 Sutter St,NA,No,10,37.788439,-122.412577
1860 TURK ST,1860 Turk St,NA,No,10,37.779803,-122.43982
1072 FILBERT ST,1072 Filbert St,NA,No,10,37.800593,-122.41717
759 LOMBArd ST,759 Lombard St,NA,No,10,37.80254,-122.41402
3 GONZALEZ DR,3 Gonzalez Dr,NA,No,10,37.719738,-122.475491
1 SABIN PL,1 Sabin Pl,NA,No,10,37.793026,-122.406856
1485 CLAY ST,1485 Clay St,NA,No,10,37.792729,-122.417428
1027 BROADWAY *,1027 Broadway,NA,No,10,37.796752,-122.414023
1732 WASHINGTON ST,1732 Washington St,NA,No,10,37.793449,-122.421896
1086 POST ST,1086 Post St,NA,No,10,37.787111,-122.419719
1237 2ND AV,1237 2Nd Av,NA,No,10,37.765594,-122.459179
1760 BRODERICK ST,1760 Broderick St,NA,No,10,37.786702,-122.441714
1041 WASHINGTON ST,1041 Washington St,NA,No,10,37.794487,-122.410415
1251 CLAY ST,1251 Clay St,NA,No,10,37.793138,-122.413646
37 MIRALOMA DR,37 Miraloma Dr,NA,No,10,37.739462,-122.459719
472 7th AV,472 7th Av,NA,No,10,37.779615,-122.464929
646 4th AV,646 4th Av,NA,No,10,37.776489,-122.461478
32 LIEBIG ST,32 Liebig St,NA,No,10,37.708687,-122.455992
34 6th ST,34 6th St,*Seneca Hotel,Yes,10,37.781459,-122.409857
21 SCOTLAND ST,21 Scotland St,NA,No,10,37.801734,-122.412604
2105 BROADWAY *,2105 Broadway,NA,No,10,37.794495,-122.431908
856 STOCKTON ST,856 Stockton St,NA,No,10,37.79391,-122.407641
41 REED ST,41 Reed St,NA,No,10,37.793511,-122.415852
700 RUSSIA AV,700 Russia Av,NA,No,10,37.718658,-122.431583
2828 21ST ST,2828 21St St,NA,No,10,37.757738,-122.411041
90 STONEMAN ST,90 Stoneman St,NA,No,10,37.745166,-122.41542
700 12th AV,700 12th Av,NA,No,10,37.774838,-122.470107
1529 JACKSON ST,1529 Jackson St,NA,No,10,37.794028,-122.420244
45 ROSS AL,45 Ross Al,NA,No,10,37.795604,-122.407521
43 BRIDGEVIEW DR,43 Bridgeview Dr,NA,No,10,37.73449,-122.394385
16 COVENTRY CT,16 Coventry Ct,NA,No,10,37.735933,-122.452215
1531 HYDE ST,1531 Hyde St,NA,No,10,37.794933,-122.418545
433 ELLIS ST,433 Ellis St,NA,No,10,37.784525,-122.413227
1095 HAMPSHIRE ST,1095 Hampshire St,NA,No,10,37.7547,-122.407189
1200 TREAT AV,1200 Treat Av,NA,No,10,37.750797,-122.413077
379 CHESTNUT ST,379 Chestnut St,NA,No,10,37.804064,-122.409624
1459 VALENCIA ST,1459 Valencia St,NA,No,10,37.749597,-122.420073
2100 POST ST,2100 Post St,NA,No,10,37.784985,-122.43664
1040 LEAVENWORth ST,1040 Leavenworth St,NA,No,10,37.790855,-122.415336
3835 19th ST,3835 19th St,NA,No,10,37.759394,-122.429028
2140 20th ST,2140 20th St,NA,No,10,37.75976,-122.40275
655 HAIGHT ST,655 Haight St,NA,No,10,37.771531,-122.432991
2229 DIVISADERO ST,2229 Divisadero St,NA,No,10,37.790306,-122.441248
1367 NATOMA ST,1367 Natoma St,NA,No,10,37.767321,-122.418263
53 WHITE ST,53 White St,NA,No,10,37.797891,-122.419668
1220 OAKDALE AV,1220 Oakdale Av,NA,No,10,37.730692,-122.382892
3525 ANZA ST,3525 Anza St,NA,No,10,37.777791,-122.486138
1922 42ND AV,1922 42Nd Av,NA,No,10,37.750815,-122.500626
3351 18th ST,3351 18th St,NA,No,10,37.761743,-122.41853
2315 MISSION ST,2315 Mission St,NA,No,10,37.759955,-122.418794
2126 47th AV,2126 47th Av,NA,No,10,37.746781,-122.505721
725 6th AV,725 6th Av,NA,No,10,37.774799,-122.464163
2715 SAN BRUNO AV,2715 San Bruno Av,NA,No,10,37.727458,-122.403244
143 STONERIDGE LN,143 Stoneridge Ln,NA,No,10,37.71023,-122.426265
988 PINE ST,988 Pine St,NA,No,10,37.790912,-122.412049
66 CERES ST,66 Ceres St,NA,No,10,37.730056,-122.394647
1050 CHESTNUT ST,1050 Chestnut St,NA,No,10,37.803096,-122.420703
550 LEAVENWORth ST,550 Leavenworth St,NA,No,10,37.786285,-122.414496
324 LARKIN ST,324 Larkin St,NA,No,10,37.780946,-122.416773
1158 LEAVENWORth ST,1158 Leavenworth St,NA,No,10,37.792004,-122.415651
1499 CALIFORNIA ST,1499 California St,NA,No,10,37.790608,-122.418727
1501 35th AV,1501 35th Av,NA,No,10,37.758921,-122.494283
1050 OAKDALE AV,1050 Oakdale Av,NA,No,10,37.729381,-122.380656
673 GRAND VIEW AV,673 Grand View Av,NA,No,10,37.749688,-122.442307
2459 POLK ST,2459 Polk St,NA,No,10,37.799501,-122.422783
774 PINE ST,774 Pine St,NA,No,10,37.791319,-122.408654
53 WALTER ST,53 Walter St,NA,No,10,37.768334,-122.432056
1068 PALOU AV,1068 Palou Av,NA,No,10,37.728473,-122.380693
1156 FITZGERALD AV,1156 Fitzgerald Av,NA,No,10,37.720692,-122.39027
428 43rd AV,428 43rd Av,NA,No,10,37.780596,-122.503791
1051 GILMAN AV,1051 Gilman Av,NA,No,10,37.718582,-122.389293
1267 PACIFIC AV,1267 Pacific Av,NA,No,10,37.795495,-122.415974
651 19th AV,651 19th Av,NA,No,10,37.775613,-122.478291
1700 OCTAVIA ST,1700 Octavia St,NA,No,10,37.788138,-122.426762
545 OFARRELL ST,545 Ofarrell St,NA,No,10,37.785424,-122.413658
1020 CHESTNUT ST,1020 Chestnut St,NA,No,10,37.803145,-122.420329
369 HARVArd ST,369 Harvard St,NA,No,10,37.725159,-122.419732
850 OAK ST,850 Oak St,NA,No,10,37.773933,-122.43337
688 COMMERCIAL ST,688 Commercial St,NA,No,10,37.794217,-122.404389
15 RUSSIA AV,15 Russia Av,NA,No,10,37.721587,-122.436806
2970 MISSION ST,2970 Mission St,NA,No,10,37.749412,-122.418518
2895 HARRISON ST,2895 Harrison St,NA,No,10,37.751277,-122.411583
373 NOE ST,373 Noe St,NA,No,10,37.763149,-122.432677
780 CHESTNUT ST,780 Chestnut St,NA,No,10,37.803526,-122.416303
2837 MISSION ST,2837 Mission St,NA,No,10,37.751597,-122.418037
118 HAIGHT ST,118 Haight St,NA,No,10,37.773101,-122.424394
20 DASHIELL HAMMETT ST,20 Dashiell Hammett St,NA,No,10,37.790667,-122.407765
5128 GEARY BL,5128 Geary Bl,NA,No,10,37.780889,-122.474526
1771 LA SALLE AV,1771 La Salle Av,NA,No,10,37.738178,-122.391666
9 BRODERICK ST,9 Broderick St,NA,No,10,37.770434,-122.438878
667 SHOTWELL ST,667 Shotwell St,NA,No,10,37.757783,-122.415515
371 STAPLES AV,371 Staples Av,NA,No,10,37.728833,-122.450464
465 14th AV,465 14th Av,NA,No,10,37.779407,-122.473134
5533 CALIFORNIA ST,5533 California St,NA,No,10,37.784004,-122.477052
5810 MISSION ST,5810 Mission St,NA,No,10,37.709483,-122.45168
335 MOSCOW ST,335 Moscow St,NA,No,10,37.722155,-122.426607
354 COLUMBUS AV,354 Columbus Av,NA,No,10,37.798565,-122.407348
87 7th AV,87 7th Av,NA,No,10,37.78683,-122.465948
1701 BEACH ST,1701 Beach St,NA,No,10,37.804151,-122.437371
2829 24th ST,2829 24th St,NA,No,10,37.752592,-122.408791
161 BARTLETT ST,161 Bartlett St,NA,No,10,37.754456,-122.419451
1784 FILBERT ST,1784 Filbert St,NA,No,10,37.799112,-122.42877
1390 CLAY ST,1390 Clay St,NA,No,10,37.793156,-122.415857
1043 VALENCIA ST,1043 Valencia St,NA,No,10,37.756221,-122.420854
1540 JONES ST,1540 Jones St,NA,No,10,37.795696,-122.414716
